DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
10.1016/S0009-2509(00)00531-5,10.1016S0009-2509(00)00531-5.Isotherm4.json,25,Zeolite 13X,3.099
10.1002/cssc.201200907,10.1002cssc.201200907.isotherm3.json,25,Zeolite Na-A,3.082
10.1021/Jp500313j,10.1021Jp500313j.Isotherm7.json,40,Mg-MOF-74,3.081
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm6.json,40,Mg2(dondc),3.057
10.1021/Jp500313j,10.1021Jp500313j.Isotherm8.json,40,Mg-MOF-74,3.023
10.1016/j.micromeso.2012.04.042,10.1016j.micromeso.2012.04.042.Isotherm1.json,40,Mg-MOF-74,2.983
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm9.json,5,CPO-27-Co,2.982
10.1016/S0009-2509(00)00531-5,10.1016S0009-2509(00)00531-5.Isotherm5.json,25,Chabazite,2.964
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm11.json,25,mmen-Mg2(dondc),2.944
10.1039/c1ee01720a,10.1039c1ee01720a.isotherm33.json,40,Mg-MOF-74,2.944
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm1.json,25,mmen-Mg2(dobpdc),2.933
10.1021/Ja300034j,10.1021Ja300034j.isotherm1.json,25,Mg2(dobpdc)(mmen)1.6(H2O)0.4,2.845
10.1021/jacs.5b00838,10.1021jacs.5b00838.Isotherm4.json,40,Mg-MOF-74,2.818
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm3.json,25,MIL-101(Cr)-150nm-PEI-300,2.764
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm12.json,25,CPO-27-Ni,2.763
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM21.json,25,Na-X,2.755
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm2.json,25,CPO-27-Mg-a,2.743
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm2.json,50,mmen-Mg2(dobpdc),2.71
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm17.json,25,MIL-101(Cr)-150nm-PEI-300,2.701
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm12.json,40,mmen-Mg2(dondc),2.695
10.1021/La205152f,10.1021La205152f.Isotherm2.json,25,Ca-rho-MOF,2.679
10.1016/S0169-4332(02)00052-1,10.1016S0169-4332(02)00052-1.isotherm2.json,25,Zeolite FAU-I,2.669
10.1021/Jp300961j,10.1021Jp300961j.isotherm2.json,25,MOF-74-Ni,2.664
10.1021/Jp401923v,10.1021Jp401923v.isotherm4.json,30,Zeolite 13X,2.661
10.1039/c4ee02717e,10.1039c4ee02717e.Isotherm1.json,25,[MnIIMnIII(OH)Cl2(bbta)],2.649
10.1021/jacs.5b00838,10.1021jacs.5b00838.Isotherm7.json,40,Zeolite 5A,2.62
10.1016/j.egypro.2013.05.098,10.1016j.egypro.2013.05.098.Isotherm4.json,25,Activated Carbon,2.612
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2e.json,45,Mg-MOF-74,2.598
10.1021/Ja300034j,10.1021Ja300034j.isotherm2.json,50,Mg2(dobpdc)(mmen)1.6(H2O)0.4,2.597
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm2.json,25,CPO-27-Ni,2.59
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm2f.json,45,Mg-MOF-74,2.582
10.1016/j.ijggc.2013.01.009,10.1016j.ijggc.2013.01.009.Isotherm6.json,50,Mg-MOF-74,2.57
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm9.json,25,Mg-MOF-74,2.563
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm10.json,25,Mg-MOF-74,2.557
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm9.json,75,TUD-1-PEI,2.554
10.1080/08927022.2011.602974,10.108008927022.2011.602974.Isotherm13.json,25,Na-Rho-ZMOF,2.529
10.1021/jacs.5b00838,10.1021jacs.5b00838.Isotherm6.json,40,Zeolite 13X,2.514
10.1021/Jz3008485,10.1021Jz3008485.Isotherm31.json,25,MOF-74-Ni,2.501
10.1021/Ef201578a,10.1021Ef201578a.Isotherm1.json,40,PEI-25-APTES-25-PQCS2129,2.495
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm8.json,75,TUD-1-PEI,2.467
10.1016/j.micromeso.2013.03.015,10.1016j.micromeso.2013.03.015.Isotherm1.json,45,CuBTC,2.462
10.1021/Ef201578a,10.1021Ef201578a.Isotherm3.json,50,PEI-25-APTES-25-PQCS2129,2.448
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm4.json,25,CPO-27-Mg-c,2.421
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm1.json,25,Mg-MOF-74,2.405
10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm45.json,40,Hengevelde-I VI coal (moist),2.404
10.1016/j.supflu.2016.01.008,10.1016j.supflu.2016.01.008.Isotherm3.json,10,Zeolite 13X,2.397
10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm44.json,40,Joppe-I IV coal (moist),2.391
10.1016/s0166-5162(02)00078-2,10.1016s0166516202000782.Isotherm43.json,40,Joppe-I IX coal (moist),2.389
10.1021/acs.jced.6b00374,10.1021acs.jced.6b00374.Isotherm12.json,10,ACZC,2.383
10.1021/Ef201578a,10.1021Ef201578a.Isotherm2.json,40,PEI-25-APTES-25-PQCS2129,2.38
10.1021/Je1002225,10.1021Je1002225.isotherm6.json,10,Zeolite 13X,2.37
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm4b.json,5,Zeolite 13X,2.368
10.1021/La205152f,10.1021La205152f.Isotherm7.json,25,Na-rho-MOF,2.367
10.2533/chimia.2015.248,10.2533chimia.2015.248.Isotherm8.json,40,MOF Mg-MOF-74,2.366
10.1021/acs.jced.6b00374,10.1021acs.jced.6b00374.Isotherm1.json,10,SZX,2.364
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM19.json,40,Ca-A,2.346
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm11.json,25,CPO-27-Mg-c,2.346
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm3.json,75,mmen-Mg2(dobpdc),2.341
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm10.json,40,PGMA-PEI hydrogel,2.3
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM31.json,40,Ca-A,2.294
10.1021/La102359q,10.1021La102359q.Isotherm35.json,25,Ni-DOBDC,2.287
10.1039/C3cc43352h,10.1039C3cc43352h.isotherm8.json,25,100WT%-PEI-MIL-101(Cr),2.259
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm53.json,25,SIFSIX-3-Zn,2.211
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm11.json,50,PGMA-PEI hydrogel,2.21
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm4a.json,5,Zeolite 13X,2.204
10.1021/La102359q,10.1021La102359q.Isotherm1-1.json,25,Zeolite 5A,2.201
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm18.json,25,MIL-101(Cr)-150nm-PEI-1800,2.171
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm7.json,55,TUD-1-PEI,2.166
10.1021/Ef201578a,10.1021Ef201578a.Isotherm4.json,50,PEI-25-APTES-25-PQCS2129,2.159
10.1021/Ef201578a,10.1021Ef201578a.Isotherm5.json,60,PEI-25-APTES-25-PQCS2129,2.156
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm2.json,25,SIFSIX-3-Ni,2.132
10.1021/La102359q,10.1021La102359q.Isotherm1.json,25,Zeolite 5A,2.131
10.1021/acs.jpcc.5b03700,10.1021acs.jpcc.5b03700.Isotherm22.json,25,MOF-74-Ni,2.126
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm54.json,35,SIFSIX-3-Zn,2.121
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm12.json,50,MIL-101(Cr)-250nm-PEI-300,2.108
10.1021/Je800900a,10.1021Je800900a.Isotherm21.json,25,Zeolite 5A,2.108
10.1039/B909861e,10.1039B909861e.isotherm1.json,25,Rho-ZMOF,2.105
10.1021/Je800900a,10.1021Je800900a.Isotherm42.json,25,Zeolite 13X,2.104
10.1038/Nchem.1432,10.1038Nchem.1432.isotherm3b.json,25,Mg2(dobpdc),2.087
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm7.json,25,SIFSIX-3-Ni,2.086
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm6.json,55,TUD-1-PEI,2.083
10.1039/C3cc43352h,10.1039C3cc43352h.isotherm7.json,25,75WT%-PEI-MIL-101(Cr),2.078
10.1021/Ja300034j,10.1021Ja300034j.isotherm3.json,75,Mg2(dobpdc)(mmen)1.6(H2O)0.4,2.067
10.1021/Je800900a,10.1021Je800900a.Isotherm28.json,25,Zeolite 13X,2.048
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM22.json,40,Na-X,2.043
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm3.json,35,SIFSIX-3-Ni,2.039
10.1021/La102359q,10.1021La102359q.Isotherm2.json,25,Zeolite NaX,2.022
10.1021/Jp3046356,10.1021Jp3046356.Isotherm24.json,25,Mg-MOF-74,2.017
10.1021/Jp401923v,10.1021Jp401923v.isotherm7.json,20,Mg-MOF-74,2.001
10.1039/c1ee01720a,10.1039c1ee01720a.isotherm34.json,50,Mg-MOF-74,1.981
10.1021/La102359q,10.1021La102359q.Isotherm6.json,25,Ni-DOBDC,1.964
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm8.json,25,SIFSIX-3-Ni,1.964
10.1016/j.micromeso.2013.03.015,10.1016j.micromeso.2013.03.015.Isotherm2.json,55,CuBTC,1.961
10.1016/j.cap.2015.06.011,10.1016j.cap.2015.06.011.Isotherm1.json,25,CuBTC,1.959
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm7.json,60,Mg2(dondc),1.958
10.1021/Ef201578a,10.1021Ef201578a.Isotherm6.json,60,PEI-25-APTES-25-PQCS2129,1.931
10.1021/Ie8005269,10.1021Ie8005269.isotherm12.json,25,Zeolite 13X,1.929
10.1016/j.cej.2010.04.024,10.1016j.cej.2010.04.024.Isotherm22-1.json,25,TRI-PE-MCM-41,1.926
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM27.json,25,Ca-X,1.923
10.1080/01496395.2010.513360,10.108001496395.2010.513360.Isotherm2.json,30,Zeolite 5A,1.919
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm3.json,25,CPO-27-Mg-b,1.913
10.1021/La102359q,10.1021La102359q.Isotherm2-1.json,25,Zeolite NaX,1.91
10.1021/La102359q,10.1021La102359q.Isotherm5.json,25,Ni-DOBDC,1.906
10.8888/01496395.2010.513360,10.888801496395.2010.513360.Isotherm1.json,30,Zeolite 5A,1.903
10.1080/01496395.2010.513360,10.108001496395.2010.513360.Isotherm1.json,30,Zeolite 5A,1.903
10.1080/15422119.2014.884507,10.108015422119.2014.884507.Isotherm5.json,25,Ni-DOBDC,1.884
10.1021/jacs.5b00838,10.1021jacs.5b00838.Isotherm11.json,40,Zn(pyz)2(SiF6),1.882
10.1021/La102359q,10.1021La102359q.Isotherm20.json,25,Ni-DOBDC,1.88
10.1016/j.cej.2010.04.024,10.1016j.cej.2010.04.024.Isotherm22.json,25,TRI-PE-MCM-41,1.88
10.1021/Je1002225,10.1021Je1002225.isotherm11.json,20,Zeolite 13X,1.879
10.1021/Ef201578a,10.1021Ef201578a.Isotherm7.json,70,PEI-25-APTES-25-PQCS2129,1.872
10.1021/acs.jpcc.5b03700,10.1021acs.jpcc.5b03700.Isotherm54.json,25,Ni-MOF-74 with residual MeOH,1.87
10.1021/La102359q,10.1021La102359q.Isotherm34.json,25,Ni-DOBDC,1.847
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm11.json,75,PEI-MonoSil,1.843
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm7.json,75,PEI-MonoSil,1.837
10.1021/Jp3046356,10.1021Jp3046356.Isotherm36.json,25,MIL-101,1.835
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm4.json,45,SIFSIX-3-Ni,1.833
10.1016/j.micromeso.2004.07.035,10.1016j.micromeso.2004.07.035.isotherm11.json,22,Zeolite 13X,1.831
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm55.json,45,SIFSIX-3-Zn,1.822
10.1021/La102359q,10.1021La102359q.Isotherm19.json,25,Ni-DOBDC,1.817
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm12.json,60,PGMA-PEI hydrogel,1.817
10.1021/Jp401923v,10.1021Jp401923v.isotherm8.json,30,Mg-MOF-74,1.796
10.1021/Je1002225,10.1021Je1002225.isotherm7.json,20,Zeolite 13X,1.795
10.1021/La205152f,10.1021La205152f.Isotherm3.json,25,Mg-rho-MOF,1.794
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm5.json,40,TUD-1-PEI,1.772
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm10.json,60,PEI-MonoSil,1.762
10.1016/j.micromeso.2004.07.035,10.1016j.micromeso.2004.07.035.isotherm12.json,22,Zeolite 13X,1.759
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm8.json,25,en-Mg2(dondc),1.758
10.1016/j.egypro.2013.05.098,10.1016j.egypro.2013.05.098.Isotherm3.json,25,MCM-41,1.757
10.1021/Cm7026509,10.1021Cm7026509.isotherm1.json,30,Faujasite-Metglas Strip,1.75
10.1021/La205152f,10.1021La205152f.Isotherm5.json,25,Rb-rho-MOF,1.745
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm8.json,20,PGMA-PEI hydrogel,1.735
10.1021/Ef201578a,10.1021Ef201578a.Isotherm8.json,70,PEI-25-APTES-25-PQCS2129,1.731
10.1039/C2dt31112g,10.1039C2dt31112g.Isotherm1.json,25,CPO-27-Ni,1.724
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm4.json,40,TUD-1-PEI,1.723
10.1002/Aic.14467,10.1002Aic.14467.Isotherm16.json,25,Mg-MOF-74,1.721
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm28.json,50,MIL-101(Cr)-150nm-PEI-1800,1.716
10.1039/C3sc51319j,10.1039C3sc51319j.isotherm10.json,5,CPO-27-Mn,1.712
10.1021/Jp311118x,10.1021Jp311118x.isotherm1.json,25,Mg-MOF-74,1.707
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm9.json,30,PGMA-PEI hydrogel,1.707
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm4c.json,25,Zeolite 13X,1.701
10.1021/acs.jpcc.5b03700,10.1021acs.jpcc.5b03700.Isotherm47.json,25,MOF-74-Ni,1.693
10.1021/acs.jpcc.5b03700,10.1021acs.jpcc.5b03700.Isotherm48.json,25,MOF-74-Ni,1.693
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm14.json,25,ppz-Mg2(dondc),1.688
10.1016/j.jcis.2010.09.065,10.1016j.jcis.2010.09.065.isotherm4d.json,25,Zeolite 13X,1.685
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm13.json,70,PGMA-PEI hydrogel,1.651
10.1021/acs.jpcc.5b03700,10.1021acs.jpcc.5b03700.Isotherm39.json,25,Mn-MOF-74,1.646
10.1039/B805473h,10.1039B805473h.isotherm8.json,27,COF-6,1.646
10.1021/Ef201578a,10.1021Ef201578a.Isotherm9.json,80,PEI-25-APTES-25-PQCS2129,1.637
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm5.json,55,SIFSIX-3-Ni,1.631
10.1021/Ct400549q,10.1021Ct400549q.isotherm9.json,25,[Cu(dpa)2SiF6-i],1.63
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm29.json,50,MIL-101(Cr)-150nm-PEI-10000,1.622
10.1021/acs.iecr.5b01305,10.1021acs.iecr.5b01305.Isotherm7.json,40,PEI MW10000,1.618
10.1021/La102359q,10.1021La102359q.Isotherm22.json,25,Ni-DOBDC,1.614
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm9.json,40,en-Mg2(dondc),1.586
10.1021/Ct400549q,10.1021Ct400549q.isotherm13.json,25,[Cu(dpa)2SiF6-i],1.575
10.1021/Ct400549q,10.1021Ct400549q.isotherm10.json,25,[Cu(dpa)2SiF6-i],1.568
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM20.json,55,Ca-A,1.567
10.1080/15422119.2014.884507,10.108015422119.2014.884507.Isotherm6.json,25,Ni/DOBDC loaded with 1 mmol/g water,1.561
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm15.json,40,ppz-Mg2(dondc),1.558
10.1016/j.supflu.2016.01.008,10.1016j.supflu.2016.01.008.Isotherm4.json,30,Zeolite 13X,1.558
10.1039/c1ee01720a,10.1039c1ee01720a.isotherm35.json,60,Mg-MOF-74,1.552
10.1021/La102359q,10.1021La102359q.Isotherm21.json,25,Ni-DOBDC,1.548
10.1002/Aic.14467,10.1002Aic.14467.Isotherm26.json,40,Mg-MOF-74,1.536
10.1021/Ef201578a,10.1021Ef201578a.Isotherm10.json,80,PEI-25-APTES-25-PQCS2129,1.519
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm11.json,50,MIL-101(Cr)-150nm-PEI-300,1.519
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm13.json,60,mmen-Mg2(dondc),1.514
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm6.json,50,CPO-27-Mg-c,1.503
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm9.json,40,PEI-MonoSil,1.494
10.1016/j.jcis.2011.10.038,10.1016j.jcis.2011.10.038.Isotherm2.json,25,TUD-1-PEI,1.484
10.1016/j.cclet.2016.01.017,10.1016j.cclet.2016.01.017.Isotherm1.json,20,zeolite NaKA (10.2% K+),1.482
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm6.json,60,PEI-MonoSil,1.479
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm5.json,40,PEI-MonoSil,1.479
10.1021/Cm7026509,10.1021Cm7026509.isotherm2.json,42,Faujasite-Metglas Strip,1.475
10.1021/Jz3008485,10.1021Jz3008485.Isotherm14.json,25,IRMOF-1,1.472
10.1016/j.ijggc.2009.04.005,10.1016j.ijggc.2009.04.005.Isotherm6.json,25,Zeolite 5A,1.464
10.1021/Jz3008485,10.1021Jz3008485.Isotherm25.json,25,Zn-MOF-74,1.463
10.1039/C4ee00143e,10.1039C4ee00143e.Isotherm56.json,55,SIFSIX-3-Zn,1.453
10.1021/Jp401923v,10.1021Jp401923v.isotherm9.json,45,Mg-MOF-74,1.45
10.1021/acs.jced.6b00374,10.1021acs.jced.6b00374.Isotherm2.json,30,SZX,1.436
10.1021/acs.jced.6b00374,10.1021acs.jced.6b00374.Isotherm8.json,30,ACZC,1.434
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM23.json,55,Na-X,1.4
10.1016/j.micromeso.2013.06.023,10.1016j.micromeso.2013.06.023.Isotherm10.json,25,Ni-MOF-74 (2),1.397
10.1021/Jp3046356,10.1021Jp3046356.Isotherm19.json,25,Mg-MOF-74,1.391
10.1039/c5cc04487a,10.1039c5cc04487a.Isotherm6.json,65,SIFSIX-3-Ni,1.374
10.1021/Je1002225,10.1021Je1002225.isotherm8.json,45,Zeolite 13X,1.373
10.1039/C4ta01174k,10.1039C4ta01174k.Isotherm27.json,50,MIL-101(Cr)-150nm-PEI-300,1.371
10.1016/j.ijggc.2013.01.009,10.1016j.ijggc.2013.01.009.Isotherm1.json,25,Zeolite 13X,1.355
10.1016/j.ijggc.2009.04.005,10.1016j.ijggc.2009.04.005.Isotherm1.json,25,Zeolite 5A,1.354
10.1039/c5ta02357b,10.1039c5ta02357b.Isotherm16.json,60,ppz-Mg2(dondc),1.345
10.1021/Je800900a,10.1021Je800900a.Isotherm31.json,50,Zeolite 13X,1.337
10.1016/S0167-2991(02)80202-6,10.1016S0167-2991(02)80202-6.Isotherm16.json,20,Zeolite Na-LSX,1.323
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM15.json,25,Mg-A,1.322
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM28.json,40,Ca-X,1.32
10.1021/Jz3008485,10.1021Jz3008485.Isotherm7.json,25,Pd(2-pymo)2,1.314
10.1039/c5dt03137k,10.1039c5dt03137k.Isotherm5.json,50,Mg-MOF-74,1.314
10.1021/Jz3008485,10.1021Jz3008485.Isotherm37.json,25,MOF-74-Co,1.307
10.1039/c2ee23337a,10.1039c2ee23337a.ISOTHERM24.json,25,Mg-X,1.293
10.1016/S0009-2509(00)00531-5,10.1016S0009-2509(00)00531-5.Isotherm6.json,70,Chabazite,1.282
10.1016/j.micromeso.2015.05.025,10.1016j.micromeso.2015.05.025.Isotherm4.json,25,PEI-MonoSil,1.276
